player_name,club,age,position,minutes,goals,assists,contract_expires_year,market_value_million_eur,predicted_value_million_eur,value_diff,valuation_label
Eneko Bóveda,Athletic Club,28.0,DF,521.0,0.0,0.0,,1.5,2.032045,0.5320450000000001,fair
Iñigo Córdoba,Athletic Club,20.0,"FW,MF",1454.0,1.0,1.0,,5.0,6.128833333333332,1.1288333333333318,fair
Arturo Vidal,Bayern Munich,30.0,MF,1456.0,6.0,2.0,,35.0,29.257466666666666,-5.742533333333334,overvalued
Raúl García,Athletic Club,31.0,"MF,FW",2617.0,10.0,1.0,,9.0,8.098666666666665,-0.9013333333333353,fair
Iago Herrerín,Athletic Club,29.0,GK,720.0,0.0,0.0,,3.0,2.9295526666666656,-0.07044733333333442,fair
Ander Iturraspe,Athletic Club,28.0,MF,1904.0,0.0,0.0,,5.0,7.090816666666666,2.090816666666666,undervalued
Nicolás Otamendi,Manchester City,29.0,DF,2967.0,4.0,0.0,,35.0,30.018575000000002,-4.981424999999998,overvalued
Iñigo Lekue,Athletic Club,24.0,"DF,FW",2115.0,0.0,1.0,,7.5,9.205533333333333,1.7055333333333333,undervalued
Andoni López,Athletic Club,21.0,DF,90.0,0.0,0.0,,0.06,0.463156166666667,0.403156166666667,fair
Óscar de Marcos,Athletic Club,28.0,"DF,MF",1654.0,1.0,3.0,,6.0,6.229699999999998,0.22969999999999757,fair
Eric Bailly,Manchester Utd,23.0,DF,1001.0,1.0,0.0,,35.0,28.343333333333334,-6.656666666666666,overvalued
Sabin Merino,Athletic Club,25.0,"FW,MF",376.0,0.0,0.0,,1.5,1.4635726666666662,-0.03642733333333381,fair
Iker Muniain,Athletic Club,24.0,"MF,FW",784.0,4.0,2.0,,10.0,9.998166666666666,-0.0018333333333337976,fair
Leonardo Bonucci,Milan,30.0,DF,3085.0,2.0,1.0,,35.0,25.594483333333333,-9.405516666666667,overvalued
Houssem Aouar,Lyon,19.0,"MF,FW",2430.0,6.0,4.0,,35.0,32.055,-2.9450000000000003,overvalued
Enric Saborit,Athletic Club,25.0,DF,1433.0,0.0,1.0,,0.08,6.870199999999991,6.790199999999991,undervalued
Mikel San José,Athletic Club,28.0,MF,2153.0,1.0,1.0,,9.0,7.887083333333333,-1.112916666666667,fair
Markel Susaeta,Athletic Club,29.0,"FW,MF",2261.0,3.0,2.0,,9.0,8.179408333333335,-0.8205916666666653,fair
Mikel Vesga,Athletic Club,24.0,MF,804.0,1.0,1.0,,2.5,2.624983333333335,0.124983333333335,fair
Iñaki Williams,Athletic Club,23.0,"FW,MF",2853.0,7.0,4.0,,30.0,26.10333333333333,-3.8966666666666683,overvalued
Yannick Carrasco,Atlético Madrid,23.0,"MF,FW",901.0,3.0,4.0,,25.0,28.636666666666667,3.6366666666666667,undervalued
Ángel Correa,Atlético Madrid,22.0,"FW,MF",2240.0,8.0,5.0,,24.0,28.326666666666668,4.326666666666668,undervalued
Diego Costa,Atlético Madrid,28.0,FW,1034.0,3.0,3.0,,60.0,49.00933333333333,-10.99066666666667,overvalued
Allan,Napoli,26.0,MF,2850.0,4.0,5.0,,33.0,30.713333333333335,-2.2866666666666653,overvalued
Gabi,Atlético Madrid,34.0,MF,2354.0,0.0,0.0,,3.0,2.4927386666666673,-0.5072613333333327,fair
Kévin Gameiro,Atlético Madrid,30.0,FW,1133.0,7.0,2.0,,20.0,20.451676666666668,0.4516766666666676,fair
Iñigo Martínez,Athletic Club,26.0,DF,1440.0,0.0,0.0,,32.0,21.585099999999997,-10.414900000000003,overvalued
Antoine Griezmann,Atlético Madrid,26.0,FW,2509.0,19.0,9.0,,100.0,88.46333333333334,-11.536666666666662,overvalued
Lucas Hernández,Atlético Madrid,21.0,DF,2122.0,0.0,1.0,,35.0,35.27333333333333,0.27333333333333343,fair
Carlos Isaac,Atlético Madrid,19.0,DF,62.0,0.0,0.0,,0.02,0.13251377777777837,0.11251377777777836,fair
Juanfran,Atlético Madrid,32.0,DF,1306.0,0.0,0.0,,5.0,3.7663166666666674,-1.2336833333333326,fair
Cesc Fàbregas,Chelsea,30.0,MF,2307.0,2.0,4.0,,30.0,27.0146,-2.9853999999999985,overvalued
Filipe Luís,Atlético Madrid,31.0,DF,1656.0,1.0,2.0,,8.0,8.369563666666664,0.3695636666666644,fair
Blaise Matuidi,Juventus,30.0,MF,2354.0,3.0,1.0,,30.0,23.167,-6.832999999999998,overvalued
Georginio Wijnaldum,Liverpool,26.0,MF,2387.0,1.0,2.0,,30.0,33.96033333333333,3.960333333333331,undervalued
Jan Oblak,Atlético Madrid,24.0,GK,3330.0,0.0,0.0,,70.0,71.19333333333333,1.193333333333328,fair
Thomas Partey,Atlético Madrid,24.0,"MF,DF",2373.0,3.0,0.0,,25.0,33.145,8.145000000000003,undervalued
Arona Sané,Atlético Madrid,22.0,MF,66.0,0.0,0.0,,0.025,0.6669083333333361,0.6419083333333361,fair
Fernando Torres,Atlético Madrid,33.0,FW,996.0,5.0,1.0,,4.0,5.5039151666666655,1.5039151666666655,undervalued
Luciano Vietto,Atlético Madrid,23.0,FW,264.0,0.0,0.0,,6.0,10.589983333333333,4.589983333333333,undervalued
Vitolo,Atlético Madrid,27.0,"MF,FW",616.0,1.0,1.0,,25.0,25.470235333333335,0.4702353333333349,fair
Axel Werner,Atlético Madrid,21.0,GK,90.0,0.0,0.0,,1.0,0.846030555555555,-0.15396944444444505,fair
Daniel Baier,Augsburg,33.0,MF,2538.0,0.0,2.0,,1.0,0.7740390000000009,-0.22596099999999908,fair
Caiuby,Augsburg,29.0,"FW,MF",2855.0,5.0,7.0,,5.0,12.278283333333333,7.2782833333333325,undervalued
Sergio Córdova,Augsburg,19.0,"FW,MF",586.0,2.0,1.0,,1.5,4.0352,2.5351999999999997,undervalued
Iñigo Martínez,Real Sociedad,26.0,DF,1055.0,1.0,0.0,,32.0,3.2557749999999976,-28.744225000000004,overvalued
Raphael Framberger,Augsburg,21.0,DF,696.0,0.0,0.0,,0.075,0.7057333333333311,0.6307333333333311,fair
Jan Vertonghen,Tottenham,30.0,DF,3203.0,0.0,0.0,,32.0,31.701666666666668,-0.298333333333332,fair
Michael Gregoritsch,Augsburg,23.0,"MF,FW",2527.0,13.0,3.0,,14.0,17.99,3.9899999999999984,undervalued
Marcel Heller,Augsburg,31.0,"FW,MF",1299.0,0.0,1.0,,1.0,1.1205269999999998,0.12052699999999983,fair
Jonathan Tah,Leverkusen,21.0,DF,2427.0,0.0,2.0,,30.0,26.675,-3.3249999999999993,overvalued
Marwin Hitz,Augsburg,29.0,GK,2880.0,0.0,0.0,,4.0,5.765,1.7649999999999997,undervalued
Kilian Jakob,Augsburg,19.0,FW,50.0,0.0,0.0,,0.02,0.053699833333333134,0.03369983333333314,fair
Presnel Kimpembe,Paris S-G,21.0,DF,2425.0,0.0,0.0,,30.0,36.24,6.240000000000002,undervalued
Rani Khedira,Augsburg,23.0,"MF,DF",2275.0,1.0,1.0,,3.5,4.936466666666666,1.4364666666666661,undervalued
Andreas Luthe,Augsburg,30.0,GK,180.0,0.0,0.0,,0.05,1.0666583333333344,1.0166583333333343,fair
Philipp Max,Augsburg,23.0,DF,2959.0,2.0,12.0,,15.0,27.515,12.515,undervalued
Ander Herrera,Manchester Utd,27.0,MF,1268.0,0.0,2.0,,30.0,20.828333333333333,-9.171666666666667,overvalued
Daniel Opare,Augsburg,26.0,"DF,MF",1417.0,0.0,0.0,,1.0,2.8567500000000003,1.8567500000000003,undervalued
Shawn Parker,Augsburg,24.0,"DF,MF",46.0,0.0,0.0,,0.015,0.41088333333333377,0.39588333333333375,fair
Marco Richter,Augsburg,19.0,"FW,MF",644.0,1.0,0.0,,1.0,3.9812499999999975,2.9812499999999975,undervalued
Jonathan Schmid,Augsburg,27.0,"DF,FW",1473.0,0.0,0.0,,2.5,4.488233333333334,1.9882333333333344,undervalued
Erik Thommy,Augsburg,22.0,FW,167.0,0.0,0.0,,5.0,3.6503212499999993,-1.3496787500000007,fair
Jordi Alba,Barcelona,28.0,DF,2741.0,2.0,6.0,,60.0,56.78333333333333,-3.2166666666666686,overvalued
Paco Alcácer,Barcelona,23.0,"FW,MF",698.0,4.0,2.0,,15.0,36.74466666666667,21.744666666666667,undervalued
Sergio Busquets,Barcelona,29.0,MF,2588.0,1.0,2.0,,80.0,66.05166666666666,-13.948333333333338,overvalued
Jasper Cillessen,Barcelona,28.0,GK,90.0,0.0,0.0,,9.0,10.078916666666666,1.0789166666666663,fair
Philippe Coutinho,Barcelona,25.0,"FW,MF",1293.0,8.0,5.0,,100.0,90.04833333333333,-9.951666666666668,overvalued
Ousmane Dembélé,Barcelona,20.0,"FW,MF",918.0,3.0,6.0,,80.0,69.91833333333334,-10.081666666666663,overvalued
Gerard Deulofeu,Barcelona,23.0,"MF,FW",502.0,1.0,1.0,,14.0,14.461833333333335,0.46183333333333465,fair
Lucas Digne,Barcelona,24.0,DF,709.0,0.0,1.0,,15.0,19.27365,4.27365,undervalued
Franck Kessié,Milan,20.0,MF,3264.0,5.0,1.0,,30.0,30.41,0.41000000000000014,fair
Giovani Lo Celso,Paris S-G,21.0,MF,1776.0,4.0,2.0,,30.0,32.83433333333333,2.8343333333333334,undervalued
