player_name,club,age,position,minutes,goals,assists,contract_expires_year,market_value_million_eur
Leon Goretzka,Schalke 04,22.0,MF,1982.0,4.0,2.0,,40.0
Hans Hateboer,Atalanta,23.0,"DF,MF",2398.0,0.0,1.0,,7.0
Toby Alderweireld,Tottenham,28.0,DF,1178.0,0.0,0.0,,40.0
Eric Dier,Tottenham,23.0,"MF,DF",2824.0,0.0,2.0,,40.0
Davinson Sánchez,Tottenham,21.0,DF,2534.0,0.0,0.0,,40.0
Riccardo Orsolini,Atalanta,20.0,"FW,MF",125.0,0.0,0.0,,3.5
Andrea Petagna,Atalanta,22.0,FW,1618.0,4.0,5.0,,9.0
Marten de Roon,Atalanta,26.0,MF,2571.0,3.0,3.0,,14.0
Francesco Rossi,Atalanta,26.0,GK,8.0,0.0,0.0,,0.015
Leonardo Spinazzola,Atalanta,24.0,DF,1503.0,0.0,3.0,,12.0
Niklas Süle,Bayern Munich,21.0,DF,1926.0,2.0,1.0,,38.0
Luca Vido,Atalanta,20.0,"FW,MF",74.0,0.0,0.0,,0.07
Aritz Aduriz,Athletic Club,36.0,FW,2155.0,9.0,3.0,,1.0
Ager Aketxe,Athletic Club,23.0,MF,41.0,0.0,0.0,,2.5
Diego Godín,Atlético Madrid,31.0,DF,2554.0,0.0,0.0,,35.0
Mikel Balenziaga,Athletic Club,29.0,DF,1547.0,0.0,2.0,,4.0
Eneko Bóveda,Athletic Club,28.0,DF,521.0,0.0,0.0,,1.5
Iñigo Córdoba,Athletic Club,20.0,"FW,MF",1454.0,1.0,1.0,,5.0
Arturo Vidal,Bayern Munich,30.0,MF,1456.0,6.0,2.0,,35.0
Raúl García,Athletic Club,31.0,"MF,FW",2617.0,10.0,1.0,,9.0
Iago Herrerín,Athletic Club,29.0,GK,720.0,0.0,0.0,,3.0
Ander Iturraspe,Athletic Club,28.0,MF,1904.0,0.0,0.0,,5.0
Nicolás Otamendi,Manchester City,29.0,DF,2967.0,4.0,0.0,,35.0
Iñigo Lekue,Athletic Club,24.0,"DF,FW",2115.0,0.0,1.0,,7.5
Andoni López,Athletic Club,21.0,DF,90.0,0.0,0.0,,0.06
